authoring,3
technical,349
documentation,114
for,1379
workflows,28
processes,194
best,73
practices,72
manage,161
our,142
on,540
and,9365
off-prem,1
kubernetes,46
clusters,6
to,3253
support,455
growing,4
workloads,6
take,35
part,79
in,2573
a,1473
24x7,2
on-call,21
rotation,17
influence,34
architectural,15
decisions,35
with,2737
focus,31
security,106
,11026
scalability,17
high-performance,5
setup,43
maintain,232
monitoring,62
metrics,56
&,265
reporting,41
systems,785
fine-grained,3
observability,16
actionable,13
alerting,15
set,29
the,1767
direction,24
engineering,1091
teams,443
8+,6
years,267
of,2872
managing,84
services,76
distributed,52
internet-scale,2
*nix,2
environment,239
ability,619
prioritize,69
tasks,72
work,678
independently,54
advanced,85
or,1581
expert-level,2
linux,96
administration,23
track,57
record,55
practical,48
problem,80
solving,67
under,54
pressure,46
excellent,256
communication,261
skills,492
bs,208
ms,182
degree,263
computer,273
science,224
equivalent,240
experience,2217
configuration,38
management,280
such,256
as,759
ansible,26
puppet,14
terraform,10
demonstrable,10
knowledge,449
tcp,20
ip,33
operating,47
system,427
internals,5
filesystems,6
disk,4
storage,87
technologies,112
protocols,46
aws,27
other,405
cloud,37
infrastructure,112
providers,12
container-based,1
using,254
orchestration,12
software,701
proficiency,146
high-level,17
language,70
like,67
python,238
go,46
ruby,15
java,34
collaborate,144
globally,13
competing,33
priorities,70
well,112
self-driven,5
an,255
analytical,71
mind,11
bias,25
action,47
big,19
data,599
platforms,45
hadoop,15
plus,368
full,251
time,272
tesla,272
employee,369
you,286
will,200
receive,94
benefits,184
from,401
day,111
1,120
your,188
dependents,91
kaiser,91
unitedhealthcare,91
ppo,91
hsa,91
plans,414
including,515
infertility,91
coverage,205
3,134
medical,92
plan,146
choices,100
$0,92
paycheck,92
contribution,94
vision,128
dental,91
orthodontic,91
company,123
paid,273
life,139
ad&d,91
short-term,92
long-term,102
disability,91
401k,92
stock,95
purchase,98
financial,99
assistance,104
program,222
off,102
holidays,95
back-up,91
childcare,91
discounts,91
geartrain,8
design,1200
utilizing,21
parametric,3
modeling,108
evaluate,39
performance,209
trade-offs,13
component,137
rotating,10
shafts,2
torque,21
split,2
devices,66
couplings,2
clutches,2
finite,20
element,21
analysis,462
2d,45
3d,90
cad,127
statistical,39
stack,39
up,97
requirements,264
level,183
testing,396
durability,20
reliability,258
variability,4
supplier,57
coordination,22
high,270
volume,67
contract,8
manufacturing,479
quality,280
troubleshooting,89
resulting,4
corrective,24
production,278
assembly,92
components,211
process,323
tool,46
development,568
achieve,54
equipment,408
test,847
specification,45
machinery,16
demonstrating,4
aptitude,23
concept,59
through,157
release,86
launch,54
evidence,100
exceptional,180
within,92
product,397
catia,114
preferred,290
primary,6
responsibility,15
is,487
keep,23
lines,30
running,18
install,11
upgrade,4
replace,3
remediate,4
all,163
it,69
hardware,322
along,19
quickly,41
respond,23
requests,41
incidents,11
customers,32
troubleshoot,50
issues,298
network,114
client,7
switch,3
idf,2
interface,43
various,120
groups,34
understand,120
interpret,52
how,63
solve,62
long,15
term,13
needs,39
framework,17
mfg,2
standards,111
minimum,86
5,30
years’,47
desktop,20
admin,7
role,31
replacing,4
windows,36
machines,14
printings,2
barcode,3
scanners,5
hand,22
held,2
radios,2
digital,51
signage,2
basic,128
client-side,2
dhcp,14
dns,16
static,7
problems,128
must,154
have,122
good,95
be,294
available,26
swing,2
shift,13
weekends,15
dev,2
ops,2
related,193
firmware,208
initial,29
final,12
develop,415
tools,433
vehicle,303
diagnostics,27
validation,215
integrate,58
tests,167
new,316
launches,8
both,122
validate,97
integration,144
versions,5
solutions,163
bridge,8
gaps,12
maintaining,40
streamlining,4
improve,158
resolve,51
meeting,10
their,92
targets,59
end-to-end,24
into,120
subsystems,54
priority,7
situations,15
root,102
cause,91
implementation,74
short,11
electrical,486
mechanical,393
fields,43
prefer,4
2+,44
professional,38
relevant,135
strong,399
scripting,73
at,191
least,49
one,93
common,59
etc,311
validating,14
embedded,142
electro-mechanical,19
collaborating,9
colleagues,5
communicating,20
complex,177
concepts,135
others,32
varied,4
background,42
detail,92
oriented,27
think,14
creatively,5
produce,26
“outside,4
box”,5
multiple,121
projects,194
moving,11
forward,5
working,367
introduction,14
improvements,78
automotive,131
understanding,360
lean,10
stakeholders,47
r&d,11
construction,53
operations,56
aggregate,2
summarize,10
site,27
wide,34
utility,17
conceptual,10
reduced,2
incremental,1
cost,85
perform,116
feasibility,22
techno-economic,1
studies,7
capital,11
meet,82
aggressive,12
internal,118
rate,5
return,1
expectations,13
capacity,17
risk,44
large,51
hands-on,142
field,222
recommend,10
key,51
future,48
factory,47
phases,5
complexity,16
objective,8
thinking,13
social,3
interactions,38
prove,3
subjective,6
fundamentals,116
without,17
direct,31
structure,23
chemical,47
master’s,11
phd,25
5-7,4
yrs,1
instance,4
designing,89
retrofitting,1
existing,84
factories,7
executing,12
scale,45
multi-disciplinary,2
experienced,44
energy,105
thermal,122
fluid,23
hvac,17
building,107
simulation,46
forecasting,7
scientific,9
programming,122
database,44
highly,108
desirable,17
matlab,65
simulink,6
revit,5
sql,73
parts,94
while,60
closely,75
electromagnetic,14
power,204
electronics,99
engineers,281
electric,33
transmission,5
plastics,22
sheet,20
metal,49
castings,4
drive,215
conduct,50
modelling,10
prototypes,18
bench,3
configurations,13
suppliers,97
transition,18
utilize,37
materials,170
team,379
members,38
use,144
techniques,67
v5,51
five,6
progressive,6
job,22
offered,4
applications,163
three,6
metals,16
assemblies,60
dimensional,21
drawings,73
expertise,40
ansi,4
y145,2
gd&t,36
dynamometer,15
stators,2
rotors,2
driving,56
"in:
winding",2
"technology
magnet",2
"technology
steel",2
stamping,29
lamination,5
"joining
electrical",2
insulation,10
"systems
interconnections
thermal",2
sensing,22
winding,5
technology,76
magnet,2
steel,6
joining,15
interconnections,2
identifying,9
qualifying,4
raw,12
profile,7
carry,3
designs,129
high-volume,17
production;,3
dfm,15
reductions,6
second,7
sourcing,22
mentoring,9
junior,10
interns,5
create,189
expand,8
tesla’s,79
harnesses,9
vehicles,81
participate,71
next,14
generation,20
feature,26
architecture,115
definition,34
early,18
prototype,113
own,66
by,142
scaling,12
them,61
across,128
entire,18
organization,89
worldwide,19
